,다듬을 말,원어,다듬은 말,제출 점수,의미/용례,sorted11 인덱스,원어_검색량,다듬은말_검색량,검색량_가산점
527,"벤처 캐피털, VC",venture capital(영),벤처 기업 자본,3.0,전문가 개별 멘토링을 통해 벤처 캐피털(VC) 등 투자자로부터 투자 유치를 받는데 필요한 전략을 전수받게 된다.,531,0.0,0.0,0
528,"비티엘, BTL",build transfer lease(영),임대형 민자 사업,1.0,"민간 투자 사업의 방식에 따른 표기 정부는 BTO와 BTL로 교육과정을 구분해, 사업 방식에 따른 수요자 맞춤형 교육이 가능하도록 운영, 민간 투자 활성화에 기여",532,0.0,0.0,0
529,"시에스, CS",customer satisfaction(영),고객 만족,3.0,기업 경영에서 고객의 만족감을 높여 제품이나 서비스를 찾도록 하는 것 최근 기업의 임직원을 대상으로 한 고객 만족(←시에스) 교육이 인기를 끌고 있다.,533,0.0,10.827586206896552,4
530,"DDoS, 디도스",Distributed Denial of Service(영),분산 서비스 거부 공격,5.0,해킹 방식의 하나로서 여러 대의 공격자를 분산 배치하여 동시에 서비스 거부 공격을 함으로써 시스템이 더 이상 정상적 서비스를 제공할 수 없도록 만드는 것을 말함.     DDoS 예방책으로는 윈도 운영체계에 최신 보안 패치를 적용할 것,534,0.0,0.0,0
531,"지투지, G2G",government-to-government(영),정부 간 거래,5.0,"방산, 인프라 등 정부가 주체가 되는 계약 우수 중소 중견기업에게 G2G 수출 등 성장 및 해외 시장 진출에 필요한 역량과 기회 제공을 위한 국방 민간 분야 간 정책 공조가 크게 강화될 전망이다.",535,0.0,0.0,0
532,"GATT, 가트",General Agreement on Tariffs and Trade(영),관세 및 무역에 관한 일반협정,2.0,"관세, 수출입 규제 등의 무역 장벽을 각국의 다각적인 교섭으로써 제거하려는 목적으로 만들어진 관세 및 무역에 관한 일반 협정     두 차례의 세계대전 이후 선진국들은 GATT를 통해 무역 장벽을 허물고 공정한 무역의 규칙을 만들기 위해 노력해 왔다.",536,0.0,0.0,0
533,"아이시티, ICT",information and communication technology(영),"정보 통신 기술, 정보 문화 기술",5.0,"정보처리, 정보통신 분야 관련 기술의 총칭   ICT가 우리 생활에 깊이 파고들수록 개인정보보호는 점점 더 중요해진다.",537,0.0,0.0,0
534,NC 장치,Numerical Control(영),수치 제어 장치,3.0,o  수치와 부호로 구성된 수치 정보를 통해 기계를 자동 제어하는 방법이다. o 이와 같은 수치 제어는 각종 공작기계에 다양하게 응용되고 있다. 지난해에 이어 2회째를 맞이한 이번 ‘NC 가공 기능 경진대회’가 열렸다.,538,0.0,0.0,0
535,"피엠, PM",project manager(영),프로젝트 관리자,5.0,"한시적인 일을 수행하는 데 있어서 관리 방법론(통합, 범위, 시간, 원가, 품질, 인력, 의사소통, 위험, 조달 관리)에 따라 가장 효율적으로 추진하는 것으로 프로젝트의 계획과 실행에 있어서 종합적인 책임을 가진 직책 또는 직무를 뜻함. 엔지니어링 개발 연구 센터(EDRC)의 날 기념식에서는 PM 양성 역량 관리 방안, 발전 산업 동향 및 이피씨(EPC: 설계,구매,시공) 경쟁력 강화 방안, 엔지니어링 개발 연구 센터(EDRC)가 추진하는 산학 협력 과제 우수 성과 사례 발표를 한다.",539,4.137931034482759,1.206896551724138,-2
536,"브이아르, 브이알, VR",Virtual Reality(영),가상 현실,5.0,컴퓨터의 기술을 응용하여 실제가 아닌 인공적인 환경을 구축하여 그 속에서 인간이 새로운 체험을 하게 하는 새로운 기술을 말한다.  OO 기업은 VR을 활용한 스포츠 트레이닝 시스템을 개발하였다.,540,0.0,29.79310344827586,4
537,개비온,gabion(영),"돌망태, 사각 돌망태",3.0,"강가나 하천, 산비탈의 돌무더기를 철조망 등의 그물에 담아낸 시설 환경부는 고랭지밭의 흙탕물 저감을 효과적으로 추진하기 위해서 침사지 등 흙탕물 저감사업 추진과 병행하여 불법경작 확산방지, 다년생 작물로 작목전환 유도, 우회수로 및 개비온 옹벽 설치 등 발생원 관리대책도 추진한다.",541,8.793103448275861,0.0,-2
538,게이트웨이,gateway(영),관문,2.0,관문이나 출입구라는 의미로 다양한 분야에서 사용된다. 정부는 새만금을 중국 게이트웨이로 국토 종합 계획을 수립했다.,543,25.24137931034483,36.6551724137931,3
539,그룹 웨어,groupware(영),공동 작업 전산망,3.0,"기업 등의 구성원들이 컴퓨터로 연결된 작업장에서, 서로 협력하여 업무를 수행하는 그룹 작업을 지원하기 위한 소프트웨어나 소프트웨어를 포함하는 구조   실제적인 애로사항 청취 및 해결을 위하여 사내 그룹 웨어를 통한 부서 및 개인 메일을 적극적으로 활용하고 있다.",544,0.0,3.4482758620689653,4
540,글레이징,glazing(영),물코팅,3.0,"수산물에 얇은 얼음막을 입히는 것으로, 수산물의 건조와 산화를 막기 위한 과정 A업체는 수입 수산물에 일명물코팅이라고 하는 글레이징 과정을 반복하여 중량을 부풀려 유통한 혐의로 입건되었다.",545,18.896551724137932,5.793103448275862,-2
541,노쇼,no show(영),예약 부도,4.0,예약을 하고 취소 연락 없이 나타나지 않는 행위를 이르는 말 정부와 소비자 단체는 노쇼 근절을 위한 홍보 활동을 진행합니다.,546,22.310344827586206,0.0,-2
542,노이즈 스크린,noise screen(영),소음 방지막,4.0,자동차 엔진룸에서 발생하는 소음을 막기 위한 부품 이들 차종의 결함은 엔진룸의 온도 차이로 인해 발생된 습기가 연료 분사기를 덮고 있는 노이즈 스크린에 정체되어 있다가 연료 분사기 내부로 유입되어 발생된 것이다.,547,0.0,3.4482758620689653,4
543,닥터 쇼핑,doctor shopping(영),병원 순례,4.0,환자가 치유에 대한 확신이 없어 여러 병원을 돌아다니면서 과잉 진료를 받는 현상   이 같은 닥터 쇼핑 문화를 막으려면 의원급 의료 기관을 중심으로 1차 의료를 탄탄하게 구축해야 한다.,548,0.0,0.0,0
544,데마르슈,démarche(프),외교적 조치,5.0,(특히) 외교관계에 있어서의 조치/(외교상) 정책에 대한 항의 ○○○ 측은 우방국들과 안보리 결의 이행을 촉구하는 공동 데마르슈를 실시하였다.그른 표기: 데마쉐,549,0.0,3.4482758620689653,4
545,두잉 비즈니스,Doing Business(영),기업 환경 평가,4.0,"세계은행(World Bank)이 세계 190여 개국을 대상으로 기업이 창업부터 퇴출까지 10가지 생애주기 단계를 거칠 때, 단계별로 소요되는 <행정> 절차의 수, 시간, 비용 등을 객관적 지표로 평가하는 것.   세계은행의 올해 두잉 비즈니스 평가에서 한국은 지난해에 비해 종합 점수는 올랐지만 순위는 한 계단 하락했다.",550,0.27586206896551724,3.7586206896551726,4
546,라디엔티어링,radienteering(영),라디오 여행,4.0,지도와 나침반 대신 라디오 방송을 활용하는 여정 이번 통일 박람회에서 라디엔티어링에 참여한 참가자들이 큰 호응을 보였다.,551,0.0,0.0,0
547,라운지용,lounge(영),휴게실용,5.0,"호텔이나 극장, 공항 따위에서 잠시 쉬어 갈 수 있는 곳 신규로 지정된 물품은라운지용 의자 등2개사 7개 제품으로 2년 간 납품 검사가 면제된다.",552,0.0,0.0,0
548,랜섬웨어,ransomware(영),금품 요구 악성 프로그램,5.0,사용자 컴퓨터 시스템에 침투하여 중요 파일에 대한 접근을 차단하고 금품을 요구하는 악성 프로그램,553,24.689655172413794,0.0,-2
549,러너,runner(영),기는 줄기,2.0,어미묘의 원줄기에서 나온 기면서 자라는 기다란 줄기  작은 뿌리 파리는 딸기 러너가 활발하게 생장하는 5월에 가장 많이 발생한다.,554,79.13793103448276,0.0,-2
550,레어템,rare-tem(영),희귀품,3.0,"레어 아이템(Rare Item)의 준말로, 획득하기 어려운 품목을 뜻하는 말.   최근 폭발 위험성이 있어 리콜이 결정된 ○사의 휴대전화를 레어템으로 여겨 계속 쓰거나 보관하려는 소비자가 많다. 하지만 연말까지 이 휴대전화를 교환이나 환불받지 않으면 소비자의 손해는 점점 더 커질 것으로 전망된다.",555,0.0,11.586206896551724,4
551,레일 바이크,rail bike(영),레일 자전거,3.0,궤도를 타고 달리는 자전거   통일부 장관은 ○○을 방문하여 금강산 관광 레일 바이크 사업 등의 실현 방안을 논의하였다.,556,26.20689655172414,0.4482758620689655,-2
552,리프캐스팅,leaf-casting(영),종이 메움 처리,3.0,"종이 기록의 물리적 복원 방법 중 하나로, 벌레 먹거나 구멍 난 결손 부분에 원지의 종이 섬유와 비슷한 섬유를 흘려 메움으로써 다시 1장의 종이로 만드는 기술     리프캐스팅 방법은 종이 자료의 물리적 강도 보강 처리와 동시에 화학적으로 탈산 처리까지 병행할 수 있는 장점을 가지고 있다.",557,0.0,0.0,0
553,림스,LIMS(Laboratory Information Management System(영)),"정보 관리 시스템, 실험실 정보 관리 시스템",5.0,각종 시험에 대해 다양한 시료 관리와 정보 운영을 쉽고 체계적이며 신뢰성 있게 하는 시스템   정부에서 공인된 실험실은 통합 림스를 갖추어야 한다.,558,13.310344827586206,0.0,-2
554,마커 비콘,marker beacon(영),항로 전파 표지,4.0,항로상의 특정한 지점의 상공임을 알리는 전파 표지.,559,0.0,0.0,0
555,미니클러스터,minicluster(영),산학연 협의체,3.0,"업종 및 기술별로 다양한 교류와 관계망(네트워크) 활동을 통해 상호 협력, 공동 학습, 정보를 공유함으로써 지역 사회의 이익을 창출하고 기업의 지속적인 성장을 도모하고자 구성된 산·학·연·관 협의체 바이오(Bio, 생명)-아이티(IT, 정보기술) 융복합 미니클러스터는 도시첨단산업단지인 세종테크밸리를 중심으로 세종시 정밀화학, 의약산업, 방송통신 등 관련 기업체와 연구기관으로 구성됐다.",560,0.0,0.0,0
556,미디어 리터러시,media literacy(영),매체 이해력,4.0,다양한 매체를 이해하고 활용할 수 있는 능력 시대적 흐름에 따라 미디어 리터러시의 교육이 필요하다.,561,3.689655172413793,3.4482758620689653,1
557,발로넷,"ballonnets(프), ballonets(영)",수상부양장치,5.0,"(비행기, 헬기 등에서) 물에 뜰 수 있게 도와주는 부력 조절 장치     헬리콥터가 해상 비행을 하기 위해서는 항공법에 따라 수면에 비상 착륙할 수 있는 발로넷을 장착하고 비행을 해야 한다.",562,3.4482758620689653,0.0,-2
558,벌크선,bulk carrier(영),산적 화물선,4.0,"곡물, 광석, 석탄 등을 포장하지 않고 그대로 선창에 싣고 수송하는 화물선.  [참고]산적(散積)은석탄, 광물, 곡물 따위를 용기에 넣지 아니하고 그대로 쌓거나 실음.이라는 뜻의 말임.     새만금 신항은 대형 벌크선의 입출항이 자유롭도록 설계되었다.",563,22.137931034482758,2.1724137931034484,-2
559,보증부 월세,monthly rent with deposit(영),보증금 있는 월세,3.0,"집이나 방을 쓰는 대가로 보증금을 건후 매월 집세를 내는 주택 소유 형태 주택의 점유 형태는 자기집, 전세, 보증부 월세, 보증금 없는 월세, 사글세, 무상으로 나뉜다.",564,22.551724137931036,0.0,-2
560,브렉시트,brexit(영),영국의 유럽연합 탈퇴,5.0,영국(Britain)과 탈퇴(Exit)의 합성어로 영국의 유럽연합(EU) 탈퇴를 의미 중소기업계가 브렉시트(영국의 유럽연합 탈퇴)와 관련해 우려의 목소리를 냈다. 중소기업중앙회는 ○일영국의 공식적인 유럽연합 탈퇴 결정에 따라 우리 경제의 수출 하락 가속화와 금융시장의 불안에 따른 실물경기 위축이 우려된다고 밝혔다.,565,8.241379310344827,0.0,-2
561,블로 바이 가스,Blow-by Gas(영),누출 가스,4.0,"자동차 엔진 연소실 구조물의 틈새로 일부 흘러 잔류하는 가스   X5 M과 X6 M은 블로 바이 가스 환원장치 내부 부품인 환기 라인 재질의 내구성 저하가 확인되었으며, 520d 등 21개 모델은 배출 가스 재순환 장치(EGR) 제작 불량이 확인되었다.",566,0.896551724137931,35.827586206896555,4
562,비즈쿨,biz-cool(영),"경영 체험, 경영 체험 학교",4.0,학교(School)에서경영(Business)을 배운다는 의미로 두 단어가 축약된 창업 관련 신생어 평생의 가치관이 형성되는 기업가 정신 함양을 위한 청소년 비즈쿨 운영 학교를 모집한다고 밝혔다.,567,0.0,0.0,0
563,설루션 다큐,solution documentary(영),문제해결 다큐,2.0,"문제를 해결할 수 있는 개선점을 제공하고 허구 없는 실생활을 기록화한 영상     부모 교육 영상은 영유아기 자녀를 둔 부모 사례를 관찰, 진단하여 전문가와 개선점을 찾는 설루션 다큐 형식이다.",568,0.0,0.0,0
564,센시티브 아이템,Sensitive Item(영),요주의 수입 품목,3.0,수입품의 유입으로 국내 산업이 중대한 피해를 입을 우려가 있는 경우에 수입 제한이나 수입 금지 조치를 단행할 대상 품목   중국이나 한국이 일본과 FTA를 체결해도 관세 철폐로부터 얻을 수 있는 직접적인 이익은 일본의 센시티브 아이템의 관세 인하가 따르지 않는 이상 한정될 수 밖에 없다.,569,3.4482758620689653,2.793103448275862,1
565,소셜 애널리틱스,social analytics(영),"누리 소통망 분석 기술, 사회 관계망 분석 기술",4.0,"트위터, 페이스북 등 소셜 네트워크 서비스(SNS)에 올라온 방대한 메시지를 신속하게 분석하는 기술  국어 순화어 정비 결과, 말다듬기위원회 회의(2017.11.29.)에서 'SNS'의 다듬은 말로 '사회관계망 , 사회관계망 서비스'를 추가하기로 결정하였음.",570,0.0,0.0,0
566,시드뱅크,Seed Bank(영),종자 은행,4.0,"식물 자원의 연구, 보존과 이용을 위해 종자를 장기 저장하기 위한 시설   영국 큐 가든의 밀레니엄 시드 뱅크는 2020년까지 전세계 식물 20%의 씨앗을 모을 계획이라고 한다. 우리나라 국립수목원도 시드 뱅크를 운영하고 있다.",571,3.4482758620689653,0.0,-2
567,시즈닝,seasoning(영),양념,4.0,식품에 첨가해서 음식을 맛을 돋우고 조절하는 물질   한 식품 기업에서 연구 기관의 도움을 받아 향신료가 혼합된 시즈닝을 첨가한 새로운 제품을 개발했다.,572,6.068965517241379,76.89655172413794,4
568,아키텍처,architecture(영),"설계, 시스템 구성",3.0,시스템의 상위 수준 기능과 인터페이스를 설명하는 기술 또는 과학 정보 기술 아키텍처의 현행화 절차가 정립되어 있고 이를 기반으로 정보 기술 아키텍처를 지속적으로 현행화하고 있는가?,573,58.6551724137931,0.0,-2
569,에어 벤트,air vent(영),공기구멍,4.0,기름 탱크 등에 공기가 드나들 수 있게 뚫어놓은 구멍   지난달 일어난 유조선 기름 유출 사고는 선박에 공급된 기름이 에어 벤트를 통해 유출되면서 발생하였다.,574,17.96551724137931,0.0,-2
570,"에프디에이, FDA",FDA(Food and Drug Administration(영)),미국식품의약품청,5.0,"식품, 의약품 등의 안전을 담당하는 미국 보건후생성 소속 연방정부기관   에프디에이(FDA)는 최근 바이오시밀러 의약품에 대한 허가를 실시하였다.",575,0.0,0.0,0
571,엔도톡신,endotoxin(영),균체 내 독소,4.0,세균이 죽기 시작하면서 유리되는 독소 많은 주사제를 생산하는 기업은 최종 제품에 대해 엔도톡신 테스트를 완료해야 한다.,576,5.310344827586207,0.0,-2
572,오프쇼어링,off-shoring(영),국외 이전,3.0,"기업이 생산기지를 인건비가 저렴한 국외로 이전하는 것을 의미함. 오프쇼어링 업무의 범위는 확대되는 추세에 있어 초기에는 정보기술(IT) 지원이나 콜센터 등에 한정됐던 것이 지금은 디자인, 회계 등 고도의 핵심 업무로까지 확산되고 있음. 글로벌 아웃소싱, 비즈니스 프로세스 아웃소싱 (Business Process Outsouring) 등으로도 불림.  이번 정책은 20여년만에 독일에서 신발 생산을 재개하는 ○○○○의 사례에서 보듯이, 우리나라 로봇 업체들의 오프쇼어링으로 나간 해외 생산 공장을 국내복귀(리쇼어링)를 촉발하여 제조업의 새로운 도약과 국내 일자리 창출에 중요한 역할을 할 것이라고 기대한다.",577,0.0,18.93103448275862,4
573,인터넷 BJ,Internet Broadcasting Jockey(영),인터넷방송진행자,2.0,"집, 사무실 등의 장소에서 컴퓨터에 내장된 카메라 혹은 소형 캠코더 등으로 콘텐츠를 촬영, 인터넷 방송 사이트에 게재하는 사람 경찰은 선정성 있는 방송을 하는 BJ들이 늘어남에 따라 관계 기관과 협력해 인터넷 개인 방송 모니터링을 강화할 방침이다.",578,4.9655172413793105,0.0,-2
574,잡 페스티벌,Job Festival(영),"일자리 한마당, 취업 박람회",5.0,"청년 구직자 등에게 다양한 취업 정보를 제공하고, 기업에는 인재 선발 기회를 제공하기 위한 취업 관련 행사 ○○ 지역 청년 구직자들의 취업능력 향상을 위한청년 잡 페스티벌이 열린다.",579,3.4482758620689653,0.0,-2
575,죽조림,미확인,빛 쬐이기,3.0,"인삼잎이 펼쳐지는 4월 하순~5월 중순에 햇빛을 많이 받게 하여 줄기의 웃자람을 막고 잎을 튼튼하게 하여 광 및 고온에 대한 내성을 증가시키는 방법. 봄철에 인삼 해가림 차광망을 걷어 놓는 것을 말함.   인삼 재배에서는 광량 조절이 가장 중요한데, 죽조림으로 강한 빛에도 적응하면서 병해충 등을 이겨낼 수 있도록 한다.",580,0.0,0.0,0
576,카 셰어링,car sharing(영),"자동차 공유, 자동차 공유 서비스",4.0,"무인 방식으로 시간 단위로 자동차를 빌려 쓰는 자동차 대여 사업 공영 주차장 제공, 교통 유발 부담금 감면 등을 통해 카 셰어링을 적극 활성화할 계획이다.",581,32.55172413793103,0.0,-2
577,카고 훅,cargo hook(영),"운반 고리, 화물 운반 고리",3.0,화물을 끌어올릴 때 사용하는 고리 항공기를 이용하여 산림 사업자재 운반물을 카고훅에 걸어 이동하였다.,582,0.0,0.0,0
578,"캐니스터, 방독면 캐니스터",canister(영),"정화통, 방독면 정화통",2.0,방독면에서 여과제가 들어 있는 통 훈련 때는 캐니스터를 개봉하지 않은 채 방독면만 착용토록 한다.,583,0.0,0.0,0
579,캠페스트,"CampFest, Camp Festival(영)",야영 축제,4.0,야영 활동을 하는 축제     국제청소년 캠페스트는 세계 청소년들이 야영 활동을 통해 심신을 단련하고 도전 정신을 키우는 대규모 국제 야영 대회이다.,584,0.0,0.0,0
580,캡스톤 디자인,Capstone Design(영),창의적 종합 설계,4.0,엔지니어를 양성하기 위한 교육 프로그램   기술 이전을 위한 투자를 결정하는 캡스톤 디자인이 운영된다.,585,18.344827586206897,0.0,-2
581,코덱스,codex(영),국제식품규격,3.0,국제식품규격위원회에서 식품의 국제교역 촉진과 소비자의 건강보호를 목적으로 제정되는 규격     한국은 김치에 대한 코덱스 규격화를 제안하여 2001년 국제식품규격위원회로부터Kimchi라는 이름의 국제 규격식품 공인을 받았다.,586,27.655172413793103,0.0,-2
582,코리안 데스크,korean desk(영),교민 전담반,3.0,"필리핀, 베트남 내 교민 및 여행객을 대상으로 각종 사건·사고를 전담하는 곳 교민들이 위험한 사건을 접하는 순간 코리안 데스크는 사건의 진실을 파악하고자 노력했다.",587,0.0,0.0,0
583,크라우드 소싱,crowd sourcing(영),"대중 참여 제작, 대중 참여 생산",3.0,"‘대중, 군중(crowd)’과 ‘외부 자원 활용’(outsourcing)의 합성어로, 대중을 제품이나 창작물 생산 과정에 참여시키는 방식을 말함. ○○ 출판사는 국내 최초로 크라우드 소싱을 통해 도서를 출판한다.",588,6.206896551724138,0.0,-2
584,크리슈머,Cresumer(영),창조적 소비자,5.0,"‘창조자, 생산자(Creator)’와 ‘소비자(Consumer)’의 합성어로, 자신에게 필요한 제품을 직접 만들어 소비하는 창조적인 소비자를 뜻함. 최근 들어 가치를 창출하는 주체가 기업에서 고객으로 변화하며 크리슈머가 새로운 화두로 떠오르고 있다.",589,3.4482758620689653,0.0,-2
585,테마 브리핑,theme briefing(영),주제 보고,5.0,특정 주제의 내용을 설명하거나 요약 보고하는 것 이번 테마 브리핑을 통해 북한을 이해하는 데 큰 도움을 받았다.,590,0.0,3.6206896551724137,4
586,텐트폴 무비,tentpole movie(영),흥행 기대작,4.0,"영화 배급사, 투자사의 영화 중 흥행 가능성이 가장 높은 영화 영화 개봉작은 많았으나, 이것이 관객 동원으로까지 연결되지 않은 이유는 텐트폴 무비의 부재에 있었다.",591,0.0,0.0,0
587,토크 콘서트,talk concert(영),이야기 공연,3.0,청중들과 이야기를 나누는 공연    통일부 장관과 부산 지역 주민들의 토크 콘서트를 개최하여 평소 통일에 대한 생각을 듣고 지역 의견을 수렴할 예정입니다.,592,22.79310344827586,0.0,-2
588,트레이 페이퍼,tray paper(영),"쟁반종이, 쟁반깔지",4.0,패스트푸드 음식점의 쟁반에 까는 종이     트레이 페이퍼에 저탄소생활 실천 수칙을 인쇄하여 사용하는 등 영업점 직원과 고객을 대상으로 생활 속 온실가스 줄이기 실천 운동 홍보를 적극적으로 전개할 계획이다.,593,0.0,0.0,0
589,트릭아트,trickart(영),"착시 예술, 착시 그림, 눈속임 예술, 눈속임 그림",4.0,과학적인 화법과 특수 도료를 사용하여 평면의 그림이 마치 살아있는 것처럼 느껴지도록 입체적으로 그린 그림   새만금 홍보관에 가면 새만금 상공을 나는 듯한 느낌을 주는 트릭아트 체험을 할 수 있다.,594,21.724137931034484,0.0,-2
590,패키지 딜,Package Deal(영),일괄 신고,2.0,여행자 중 동반 가족이 있는 경우 대표자 1인이 일괄하여 신고서를 제출하는 제도 세관은 해외여행객 증가에 따른 세관지원책 중 하나로 패키지 딜 제도를 적극적으로 운영할 방침이다.,595,0.0,14.413793103448276,4
591,"퍼블리셔, 게임 퍼블리셔","Publisher, Game Publisher(영)","배급사, 게임 배급사",5.0,개발된 게임의 판매와 유통(배포)를 직업으로 하는 사람 또는 기업   올해 게임 시장에서는 중견 퍼블리셔의 약진이 두드러졌다.,596,2.5517241379310347,3.4482758620689653,3
592,퍼블릭 아트,public art(영),공공 예술,5.0,공공의 장소에 존재하여 많은 사람이 함께 즐기며 공유할 수 있는 예술 작품. 요즘은 길거리 곳곳에서 퍼블릭 아트를 쉽게 만날 수 있다.,597,3.4482758620689653,1.0,-2
593,포켓 가이드북,pocket guide book(영),휴대용 안내서,5.0,주머니 등에 넣을 수 있을 정도록 작은 휴대용 안내 책자   결혼 이민 예정자를 위한 포켓 가이드북을 제공한다.,598,0.0,0.0,0
594,포토툰,Photo toon(영),사진만화,1.0,그림 대신 사진을 이용해서 만든 만화   내년에 새만금 홍보를 위해 포토툰을 제작하여 활용하도록 합시다.,599,15.96551724137931,41.275862068965516,4
595,폴리시 믹스,Policy mix(영),정책 조합,3.0,경제의 안정과 성장을 동시에 실현시키는 등 복수의 정책 목표를 달성하기 위하여 정책 수단을 적절하게 배합하는 것 통화 정책과 재정 정책의 폴리시 믹스로 경기 부양 효과를 극대화한다.,600,0.0,6.551724137931035,4
596,프레스 키트,press kit(영),언론 홍보 꾸러미,3.0,"기자에게 제공하는 홍보 자료, 보도자료, 선물 등을 넣은 꾸러미   올해 ○○행사에서는 보도자료와 기념품 등 기자들에게만 제공되는 프레스 키트를 얻으려는 일반 관람객이 몰렸다.",601,0.0,0.0,0
597,프리로드,pre-lord(영),기본 탑재,3.0,스마트폰이나 컴퓨터를 판매하기 전에 미리 애플리케이션을 설치하는 것.   스마트폰 이용자들의 의사와 상관없는 프리로드 앱이 큰 문제가 되고 있다.,602,16.79310344827586,1.1379310344827587,-2
598,플라세보 효과,Placebo effect(영),"속임약 효과, 위약 효과",1.0,약효가 전혀 없는 거짓약을 진짜 약으로 가장하여 환자에게 복용토록 했을 때 환자의 병세가 호전되는 효과를 말함. 의약품 개발할 경우 그 약의 효과를 확인하기 위해 플라세보를 이용한 검사를 반드시 거치도록 하고 있다.,603,0.0,0.0,0
599,픽토그램,pictogram(영),그림 문자,4.0,사물·시설·행위·개념 등을 상징화된 그림 문자(pictograph)로 나타내 불특정 다수의 사람들이 빠르고 쉽게 공감할 수 있도록 만든 상징 문자.   화장실의 픽토그램은 상징적으로 우리에게 인식되어 있다.,604,51.58620689655172,3.413793103448276,-2
600,헤이트 스피치,hate speech(영),"혐오 발언, 혐오 발언 시위",5.0,특정 집단 등에 대한 혐오 의견을 대중 앞에서 연설이나 시위의 형태로 표현하는 것 일본 극우단체들의 헤이트 스피치에 대해 재일부인회가 근절 운동으로 대응하였다.,605,0.0,3.4482758620689653,4
601,헬리패드,helipad(영),간이 헬기장,5.0,헬리콥터의 이륙과 착륙 및 주기에 이용되는 소규모 지정 지역 건물이 일정 높이에 이르면 의무적으로 헬리패드 설치를 해야 한다.,606,0.0,0.0,0
602,홈스쿨링,home-schooling(영),재택 교육,2.0,"학교 교육의 정규 교육 과정이 아닌 가정의 돌봄 속에서 교육 전반을 기획, 수행하는 일련의 교육 활동 OOO는 홈스쿨링으로 3개 국어를 배우고 있다.",607,20.620689655172413,0.0,-2
603,"비티오, BTO",build transfer operate(영),수익형 민자 사업,1.0,"민간 투자 사업의 방식에 따른 표기정부는 BTO와 BTL로 교육과정을 구분해, 사업 방식에 따른 수요자 맞춤형 교육이 가능하도록 운영, 민간 투자 활성화에 기여",608,0.0,0.0,0
604,샘플링 설비,sampling 設備 [sampling system],시료 (가스) 채취 장치,1.0,"LNG탱크로 하역되는 LNG 성분분석을 위한 샘플링 설비(→시료 (가스) 채취 장치)는 탐침, 기화기, 홀더, 압축기, 용기 등으로 구성된 정교한 시스템으로 설계되어야 한다.",609,0.0,0.0,0
605,월드 뮤직 페스티벌,world music festival,세계 음악 축전,5.0,NaN,610,0.0,0.0,0
606,스몸비,smombie(←smart phone zombie)(영),"스마트폰 몰입 보행자, 스마트폰 몰입 이동자",3.0,NaN,611,6.827586206896552,0.0,-2
607,캠퍼스 타운,campus town(영),"대학촌, 대학거점도시",5.0,NaN,612,29.06896551724138,0.0,-2
608,프로모터,promoter(영),"행사기획자, 행사기획사",5.0,NaN,613,12.724137931034482,0.0,-2
609,플래너,planner(영),"기획자, 설계자",1.0,NaN,614,70.51724137931035,0.0,-2
610,하우징 페어,housing fair(영),"주택 박람회, 주택 산업 박람회",1.0,NaN,615,6.0344827586206895,0.0,-2
611,핸드레일,handrail,안전 손잡이,1.0,NaN,616,28.96551724137931,7.896551724137931,-2
612,샘플링 지점,sampling 地點 [sampling point],시료 (가스) 채취 지점,1.0,LNG 성분분석을 위한 샘플링 지점(→시료 (가스) 채취 지점)은 여러 군데 위치하여 있다.,617,0.0,0.0,0
613,"PG, 피지",Press  Guidance(영),언론 설명 자료,3.0,주요 언론의 관심 사안에 대해 부처 차원의 일관되고 통일된 의견 및 설명을 제시하기 위한 자료 중요한 외교 안보 현안에 대해 PG를 작성하다.,672,0.0,0.0,0
614,"아르티, 알티, RT,",Radiographic Test(영),방사선 투과 검사,3.5,"방사선의 투과력이 물질의 밀도나 두께 등에 따라 다른 점을 이용하여 투과된 방사선의 강도 분포를 사진 필름 등에 영상으로 나타내어 내부 결함 등을 검사하는 것 선박, 항공기와 같은 거대한 건조물의 내부를 손상시키지 않고 조사하기 위해서 RT를 실시한다.",673,3.4482758620689653,0.0,-2
615,SI 기업,System Integration(영) 기업,시스템 통합(SI) 기업,4.0,"고객이 필요로 하는 정보 시스템에 관한 기획에서부터 개발과 구축, 나아가서는 운영까지의 모든 서비스를 제공하는 기업 SI 기업에 스마트 공장의 개념 및 정책에 대한 이해를 증진하고 관련 사업을 소개하여 참여하도록 유도할 예정이다.",674,15.586206896551724,0.0,-2
616,"에스에스엠, SSM",super supermarket(영),기업형 슈퍼마켓,5.0,"대형 마트보다 작고 일반 동네 슈퍼마켓보다 큰 유통 매장을 지칭한다. 전국 30개 지자체는 유통법에 따라 의무 휴업일을 지정해 해당 지역 대형 마트와 SSM을 쉬게 하고, 영업 시간을 제한하고 있다.",675,0.0,0.0,0
617,"VIMS, 브이아이엠에스",vehicle  inspection management system(영),자동차 검사 관리 시스템,1.0,"구동계, 제동계 등 자동차의 주요 부품과 성능을 검사하는 계측 시스템 지난 2007년부터 VIMS 운용으로 부실 검사가 감소하는 추세이나...",676,0.0,0.0,0
618,"VoIP, 브이오아이피",Voice over Internet Protoco(영),"인터넷 전화, 인터넷 음성 통신",5.0,초고속 인터넷 망을 기반으로 음성 통화를 구현하는 통신 기술 새 위성 시스템은 VoIP 서비스를 제공할 예정임.,677,0.0,0.0,0
